file_path,machine_type,machine_id,condition,if_score,ae_score,if_is_anomaly,ae_is_anomaly,combined_label
data\raw\mimii\pump\id_00\abnormal\00000000.wav,pump,id_00,anomaly,0.44338361402561915,0.14937672105406116,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000001.wav,pump,id_00,anomaly,0.5071469809705499,0.6059724194509882,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000002.wav,pump,id_00,anomaly,0.4622074998317121,0.1455495804064797,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000003.wav,pump,id_00,anomaly,0.4785845664229527,0.4934682976869222,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000004.wav,pump,id_00,anomaly,0.4750497823214818,0.2458599411738577,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000005.wav,pump,id_00,anomaly,0.4666593504589813,0.2985556478291831,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000006.wav,pump,id_00,anomaly,0.4822104049963027,0.3293853682766285,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000007.wav,pump,id_00,anomaly,0.4670101001431606,0.4347221763790247,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000008.wav,pump,id_00,anomaly,0.4914776981808778,0.4033489203832868,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000009.wav,pump,id_00,anomaly,0.4817369466871799,0.5026241067106685,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000010.wav,pump,id_00,anomaly,0.5128435411508818,0.39372408621238314,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000011.wav,pump,id_00,anomaly,0.5107014627709439,0.5804212362106557,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000012.wav,pump,id_00,anomaly,0.5316506131087425,0.589562218847287,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000013.wav,pump,id_00,anomaly,0.48120465976539273,0.41191060900311344,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000014.wav,pump,id_00,anomaly,0.44464651154335216,0.17756794528117278,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000015.wav,pump,id_00,anomaly,0.5095344041503896,0.6881562503243058,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000016.wav,pump,id_00,anomaly,0.4670288558975402,0.29601846363707063,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000017.wav,pump,id_00,anomaly,0.4951457037183202,0.4987814264062691,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000018.wav,pump,id_00,anomaly,0.4684807916995528,0.25025824252290907,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000019.wav,pump,id_00,anomaly,0.5225348881670836,0.6129243604094983,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000020.wav,pump,id_00,anomaly,0.45928946787271946,0.2777374885768823,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000021.wav,pump,id_00,anomaly,0.47011636065517454,0.4273316586717229,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000022.wav,pump,id_00,anomaly,0.5385479298453707,0.41376015732548127,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000023.wav,pump,id_00,anomaly,0.4808446650642039,0.6502520742405423,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000024.wav,pump,id_00,anomaly,0.4853252608106497,0.3111579552275366,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000025.wav,pump,id_00,anomaly,0.4741769575030508,0.5608886264288503,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000026.wav,pump,id_00,anomaly,0.46787878510734565,0.4053589720343358,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000027.wav,pump,id_00,anomaly,0.49672192970394463,0.4388714672226642,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000028.wav,pump,id_00,anomaly,0.4944456955621018,0.28205854090581933,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000029.wav,pump,id_00,anomaly,0.5034226842842849,0.588320416990573,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000030.wav,pump,id_00,anomaly,0.4875489823951132,0.12758963338327642,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000031.wav,pump,id_00,anomaly,0.46960974497788105,0.5577566803493688,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000032.wav,pump,id_00,anomaly,0.47207356289458985,0.1391721073886253,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000033.wav,pump,id_00,anomaly,0.5369890797594882,0.805055338318014,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000034.wav,pump,id_00,anomaly,0.4693771324087102,0.13885613853805331,True,True,anomaly
data\raw\mimii\pump\id_00\abnormal\00000035.wav,pump,id_00,anomaly,0.5780123808079566,0.7995128708079003,True,True,anomaly
